building_name,num_tiles,coating_deterioration_mean,cracks_mean,masonry_degradation_mean,moisture_bio_damage_mean,vandalism_mean,coating_deterioration_max,cracks_max,masonry_degradation_max,moisture_bio_damage_max,vandalism_max,coating_deterioration_prevalence,cracks_prevalence,masonry_degradation_prevalence,moisture_bio_damage_prevalence,vandalism_prevalence
IMG_20260410_140030448_HDR,30,0.0,0.0,0.0,0.04,0.0,0.06,0.0,0.02,0.18,0.03,0.07,0.0,0.03,0.43,0.07
IMG_20260413_114127,25,0.01,0.0,0.0,0.01,0.0,0.05,0.01,0.01,0.09,0.01,0.24,0.0,0.0,0.16,0.0
DSC02356,42,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.02,0.0,0.02,0.05,0.1,0.02,0.0,0.02
IMG_20260318_075658475_HDR,28,0.03,0.0,0.0,0.03,0.0,0.17,0.03,0.0,0.14,0.02,0.32,0.18,0.0,0.43,0.07
улица Восстания 25,30,0.02,0.0,0.0,0.01,0.0,0.19,0.01,0.0,0.08,0.0,0.27,0.03,0.0,0.23,0.0
DSC02527,20,0.01,0.0,0.0,0.0,0.0,0.1,0.01,0.01,0.0,0.0,0.25,0.0,0.0,0.0,0.0
DSC02143,42,0.02,0.0,0.0,0.01,0.0,0.22,0.0,0.0,0.06,0.02,0.31,0.0,0.0,0.17,0.02
IMG_20260410_135356374_HDR,30,0.12,0.0,0.0,0.02,0.0,0.46,0.02,0.03,0.14,0.01,0.5,0.03,0.03,0.33,0.0
9,12,0.08,0.0,0.01,0.02,0.02,0.33,0.01,0.08,0.1,0.1,0.75,0.08,0.17,0.5,0.25
DSC02391,24,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.02,0.17,0.0,0.0,0.08,0.04
DSC02270,24,0.01,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
IMG_20260318_115602,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.04,0.0,0.0
DSC02567,42,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.06,0.0,0.05,0.0,0.0,0.12,0.0
IMG_20260410_135231599_HDR,30,0.16,0.0,0.0,0.01,0.0,0.55,0.03,0.06,0.05,0.01,1.0,0.13,0.03,0.2,0.0
DSC02416,18,0.06,0.0,0.0,0.02,0.0,0.2,0.04,0.04,0.17,0.0,0.56,0.06,0.06,0.33,0.0
32,12,0.08,0.0,0.0,0.24,0.0,0.27,0.0,0.03,0.57,0.0,0.75,0.0,0.08,1.0,0.0
DSC02314,24,0.01,0.0,0.0,0.05,0.01,0.14,0.0,0.01,0.22,0.04,0.12,0.0,0.04,0.46,0.17
DSC02566,42,0.05,0.0,0.0,0.02,0.0,0.28,0.04,0.05,0.19,0.02,0.55,0.14,0.19,0.36,0.02
IMG_20260410_141636397_HDR,24,0.26,0.0,0.0,0.01,0.0,0.64,0.0,0.01,0.09,0.06,0.83,0.0,0.04,0.21,0.04
77,9,0.2,0.0,0.0,0.02,0.0,0.56,0.0,0.0,0.08,0.0,0.67,0.0,0.0,0.22,0.0
DSC02244,24,0.01,0.0,0.0,0.01,0.0,0.05,0.0,0.01,0.14,0.01,0.46,0.0,0.04,0.21,0.04
DSC02530,35,0.01,0.0,0.0,0.02,0.0,0.07,0.01,0.01,0.28,0.03,0.37,0.0,0.0,0.34,0.11
57,12,0.04,0.0,0.0,0.0,0.0,0.13,0.0,0.01,0.01,0.01,0.58,0.0,0.08,0.0,0.0
DSC02558,24,0.01,0.0,0.0,0.01,0.0,0.08,0.05,0.0,0.04,0.01,0.38,0.12,0.0,0.21,0.0
IMG_20260410_131627108_HDR,30,0.02,0.0,0.0,0.0,0.0,0.14,0.0,0.01,0.0,0.02,0.37,0.0,0.0,0.0,0.03
DSC02476,20,0.09,0.0,0.0,0.02,0.0,0.3,0.01,0.02,0.17,0.0,0.85,0.0,0.25,0.45,0.0
IMG_20260410_131835202_HDR,30,0.03,0.01,0.0,0.0,0.0,0.17,0.12,0.02,0.02,0.0,0.57,0.17,0.03,0.03,0.0
DSC02193,36,0.01,0.0,0.0,0.01,0.0,0.13,0.02,0.0,0.06,0.03,0.11,0.08,0.0,0.19,0.11
IMG_20260410_141717983_HDR,24,0.18,0.0,0.01,0.03,0.0,0.59,0.0,0.07,0.27,0.0,0.79,0.0,0.17,0.42,0.0
DSC02168,42,0.02,0.0,0.0,0.01,0.0,0.13,0.01,0.01,0.13,0.05,0.43,0.0,0.02,0.31,0.05
IMG_20260410_132128873_HDR,30,0.07,0.0,0.0,0.0,0.0,0.36,0.03,0.05,0.04,0.0,0.5,0.1,0.03,0.07,0.0
1000019118,30,0.01,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.02,0.23,0.0,0.0,0.0,0.07
DSC02297,24,0.03,0.01,0.01,0.0,0.0,0.09,0.03,0.04,0.01,0.01,0.54,0.29,0.46,0.08,0.0
DSC02554,24,0.02,0.0,0.0,0.01,0.0,0.09,0.02,0.03,0.11,0.0,0.38,0.12,0.12,0.25,0.0
IMG_20260318_131740050_HDR,20,0.0,0.01,0.0,0.0,0.0,0.02,0.09,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0
IMG_20260410_134901908_HDR,30,0.11,0.0,0.0,0.08,0.0,0.38,0.02,0.03,0.27,0.03,0.9,0.1,0.03,0.6,0.03
DSC02453,24,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.05,0.08,0.0,0.0,0.04,0.12
