building_name,num_tiles,coating_deterioration_mean,cracks_mean,masonry_degradation_mean,moisture_bio_damage_mean,vandalism_mean,coating_deterioration_max,cracks_max,masonry_degradation_max,moisture_bio_damage_max,vandalism_max,coating_deterioration_prevalence,cracks_prevalence,masonry_degradation_prevalence,moisture_bio_damage_prevalence,vandalism_prevalence
1000019118,30,0.01,0.0,0.0,0.0,0.0,0.11,0.0,0.01,0.01,0.04,0.23,0.0,0.0,0.03,0.07
DSC02297,24,0.02,0.01,0.02,0.0,0.0,0.13,0.08,0.11,0.07,0.01,0.42,0.25,0.54,0.08,0.04
IMG_20260318_131740050_HDR,20,0.0,0.01,0.0,0.0,0.0,0.05,0.09,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0
DSC02453,24,0.01,0.0,0.0,0.0,0.0,0.07,0.01,0.0,0.01,0.03,0.21,0.08,0.0,0.04,0.08
IMG_20260320_154755,30,0.03,0.0,0.0,0.01,0.0,0.18,0.01,0.05,0.05,0.04,0.6,0.0,0.13,0.3,0.03
DSC02450,42,0.02,0.0,0.0,0.0,0.0,0.23,0.0,0.06,0.03,0.01,0.19,0.0,0.07,0.1,0.05
DSC02211,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0
1000032450,9,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.11,0.0,0.0,0.0,0.0
DSC02152,42,0.0,0.0,0.0,0.02,0.0,0.05,0.03,0.0,0.12,0.0,0.12,0.07,0.0,0.29,0.0
81,12,0.08,0.0,0.0,0.0,0.0,0.22,0.01,0.0,0.0,0.0,0.92,0.08,0.0,0.0,0.0
DSC02375,36,0.03,0.0,0.0,0.02,0.0,0.28,0.01,0.03,0.09,0.0,0.28,0.03,0.11,0.47,0.0
46,12,0.0,0.0,0.0,0.01,0.0,0.03,0.01,0.0,0.03,0.0,0.08,0.08,0.0,0.25,0.0
DSC02174,24,0.04,0.0,0.0,0.21,0.0,0.27,0.01,0.0,0.54,0.01,0.38,0.0,0.0,0.71,0.0
IMG_20260318_075635475_HDR,20,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.06,0.03,0.01,0.2,0.0,0.05,0.05,0.0
DSC02289,42,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.02,0.0,0.0,0.02,0.0
DSC02342,24,0.01,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.02,0.0,0.33,0.04,0.0,0.21,0.0
IMG_20260325_075617182_HDR,20,0.02,0.0,0.0,0.05,0.0,0.13,0.01,0.0,0.28,0.0,0.5,0.0,0.0,0.3,0.0
61,12,0.09,0.0,0.0,0.01,0.02,0.45,0.01,0.0,0.04,0.05,0.5,0.0,0.0,0.17,0.67
IMG_20260318_120221,30,0.01,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.01,0.0,0.13,0.0,0.0,0.03,0.0
IMG_20260317_113448622_HDR,30,0.07,0.0,0.0,0.05,0.01,0.28,0.0,0.01,0.36,0.1,0.63,0.0,0.0,0.4,0.13
IMG_20260318_115219,30,0.01,0.0,0.0,0.0,0.0,0.09,0.01,0.03,0.02,0.02,0.23,0.03,0.13,0.07,0.13
2026-04-02 17-25-18,15,0.04,0.0,0.0,0.01,0.0,0.16,0.0,0.0,0.11,0.0,0.6,0.0,0.0,0.2,0.0
IMG_20260320_081159910_HDR,20,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.05,0.0,0.0,0.0
IMG_20260317_130539386_HDR,30,0.02,0.0,0.01,0.0,0.0,0.16,0.03,0.11,0.03,0.01,0.43,0.07,0.3,0.07,0.0
27,12,0.03,0.0,0.0,0.02,0.06,0.15,0.0,0.0,0.13,0.25,0.33,0.0,0.0,0.33,0.33
35,12,0.09,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.01,0.0,0.75,0.0,0.0,0.17,0.0
25,12,0.13,0.0,0.0,0.01,0.0,0.29,0.01,0.02,0.03,0.03,0.75,0.0,0.17,0.33,0.08
IMG_20260320_154600,30,0.02,0.0,0.0,0.02,0.0,0.15,0.01,0.0,0.14,0.01,0.53,0.07,0.0,0.4,0.0
IMG_20260320_153530,30,0.04,0.0,0.0,0.0,0.0,0.19,0.02,0.01,0.02,0.03,0.5,0.13,0.07,0.1,0.1
67,12,0.01,0.01,0.0,0.07,0.0,0.03,0.05,0.0,0.22,0.0,0.58,0.17,0.0,0.67,0.0
DSC02393,24,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.2,0.01,0.17,0.0,0.0,0.29,0.04
20,12,0.01,0.0,0.0,0.01,0.0,0.05,0.0,0.0,0.04,0.01,0.08,0.0,0.0,0.17,0.0
DSC02209,30,0.0,0.0,0.0,0.05,0.0,0.02,0.0,0.01,0.26,0.06,0.1,0.0,0.0,0.47,0.07
DSC02404,24,0.03,0.0,0.0,0.0,0.0,0.2,0.02,0.0,0.04,0.0,0.54,0.04,0.0,0.12,0.0
DSC02271,24,0.02,0.01,0.0,0.01,0.0,0.25,0.07,0.0,0.07,0.0,0.17,0.25,0.0,0.29,0.0
DSC02250,42,0.01,0.0,0.0,0.0,0.0,0.05,0.01,0.13,0.04,0.0,0.12,0.0,0.02,0.02,0.0
IMG_20260320_151341,30,0.04,0.0,0.0,0.04,0.0,0.16,0.01,0.01,0.23,0.01,0.47,0.0,0.0,0.37,0.0
DSC02422,36,0.04,0.0,0.0,0.0,0.0,0.24,0.01,0.05,0.01,0.03,0.42,0.0,0.11,0.03,0.22
19,12,0.14,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.02,0.0,0.58,0.0,0.0,0.17,0.0
IMG_20260317_113415094_HDR,24,0.07,0.0,0.0,0.0,0.0,0.22,0.02,0.0,0.06,0.05,0.67,0.04,0.0,0.08,0.08
DSC02259,24,0.18,0.0,0.03,0.0,0.01,0.54,0.0,0.09,0.01,0.08,0.79,0.0,0.46,0.0,0.17
30,12,0.02,0.0,0.0,0.14,0.0,0.11,0.0,0.01,0.33,0.0,0.42,0.0,0.0,1.0,0.0
IMG_20260320_160147,30,0.03,0.0,0.0,0.04,0.0,0.16,0.0,0.0,0.21,0.03,0.27,0.0,0.0,0.57,0.03
DSC02428,24,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.03,0.01,0.08,0.12,0.0,0.08,0.04
DSC02201,24,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.01,0.0,0.0,0.12,0.08,0.0,0.0,0.0
DSC02473,24,0.0,0.0,0.0,0.05,0.0,0.05,0.01,0.02,0.34,0.01,0.12,0.0,0.17,0.38,0.0
DSC02305,24,0.05,0.0,0.0,0.0,0.0,0.3,0.02,0.02,0.04,0.0,0.38,0.04,0.04,0.12,0.0
DSC02185,42,0.04,0.0,0.0,0.19,0.0,0.32,0.01,0.0,0.55,0.03,0.4,0.0,0.0,0.69,0.07
72,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,12,0.01,0.0,0.0,0.03,0.0,0.05,0.01,0.03,0.1,0.01,0.5,0.08,0.08,0.67,0.0
DSC02368,24,0.02,0.0,0.0,0.16,0.0,0.17,0.01,0.01,0.44,0.01,0.29,0.0,0.04,0.58,0.04
DSC02223,24,0.01,0.04,0.0,0.05,0.0,0.1,0.41,0.0,0.2,0.01,0.38,0.25,0.0,0.58,0.04
39,12,0.1,0.0,0.0,0.15,0.0,0.24,0.0,0.0,0.46,0.0,1.0,0.0,0.0,0.67,0.0
DSC02459,24,0.0,0.0,0.0,0.03,0.0,0.04,0.01,0.0,0.17,0.03,0.12,0.0,0.0,0.33,0.04
DSC02399,24,0.0,0.01,0.0,0.01,0.0,0.02,0.03,0.03,0.05,0.0,0.17,0.29,0.12,0.25,0.0
DSC02380,24,0.01,0.0,0.0,0.06,0.0,0.07,0.01,0.04,0.26,0.02,0.33,0.0,0.12,0.58,0.04
DSC02207,42,0.01,0.0,0.0,0.02,0.0,0.19,0.01,0.04,0.28,0.1,0.17,0.02,0.02,0.17,0.05
IMG_20260317_113335801_HDR,30,0.06,0.0,0.01,0.01,0.0,0.41,0.0,0.16,0.09,0.01,0.47,0.0,0.17,0.27,0.0
DSC02140,24,0.0,0.0,0.0,0.01,0.0,0.02,0.02,0.0,0.06,0.0,0.04,0.04,0.0,0.29,0.0
52,12,0.04,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.01,0.0,0.75,0.0,0.0,0.0,0.0
21,12,0.09,0.0,0.0,0.02,0.0,0.27,0.0,0.01,0.07,0.0,0.67,0.0,0.0,0.42,0.0
DSC02489,24,0.01,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
79,12,0.07,0.0,0.0,0.0,0.0,0.22,0.01,0.03,0.02,0.0,0.58,0.0,0.08,0.17,0.0
11,12,0.02,0.0,0.0,0.01,0.0,0.1,0.0,0.0,0.07,0.01,0.5,0.0,0.0,0.25,0.0
29,12,0.04,0.01,0.0,0.01,0.0,0.17,0.09,0.0,0.08,0.01,0.75,0.25,0.0,0.25,0.0
DSC02304,24,0.01,0.0,0.0,0.02,0.0,0.1,0.02,0.0,0.1,0.0,0.08,0.08,0.0,0.5,0.0
DSC02255,24,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.01,0.12,0.12,0.0,0.0,0.04
DSC02396,24,0.01,0.0,0.0,0.0,0.0,0.07,0.01,0.01,0.02,0.04,0.21,0.0,0.0,0.08,0.12
15,12,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.09,0.0,0.17,0.0,0.0,0.67,0.0
DSC02388,24,0.02,0.0,0.0,0.0,0.0,0.18,0.01,0.0,0.03,0.07,0.17,0.0,0.0,0.12,0.04
IMG_20260319_121325656_HDR,20,0.01,0.0,0.01,0.0,0.0,0.04,0.0,0.06,0.02,0.01,0.15,0.0,0.15,0.05,0.0
16,12,0.01,0.0,0.0,0.08,0.0,0.02,0.01,0.0,0.29,0.0,0.33,0.0,0.0,0.58,0.0
DSC02137,42,0.0,0.01,0.0,0.0,0.0,0.06,0.05,0.02,0.01,0.03,0.12,0.17,0.02,0.0,0.02
DSC02432,24,0.0,0.0,0.0,0.04,0.0,0.02,0.01,0.01,0.29,0.03,0.17,0.0,0.0,0.46,0.17
IMG_20260318_080042286_HDR,20,0.07,0.0,0.01,0.0,0.0,0.19,0.03,0.08,0.03,0.0,0.75,0.2,0.1,0.05,0.0
DSC02182,24,0.01,0.0,0.0,0.0,0.0,0.11,0.01,0.0,0.02,0.0,0.08,0.0,0.0,0.17,0.0
1000032464,30,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.05,0.0,0.03,0.03,0.0,0.07,0.0
IMG_20260317_130518147_HDR,30,0.06,0.0,0.0,0.08,0.0,0.35,0.0,0.01,0.43,0.02,0.6,0.0,0.0,0.57,0.07
DSC02226,24,0.01,0.0,0.0,0.0,0.0,0.09,0.04,0.0,0.02,0.01,0.17,0.04,0.0,0.04,0.0
DSC02323,24,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.29,0.0
22,12,0.09,0.0,0.0,0.04,0.0,0.29,0.0,0.0,0.15,0.0,0.75,0.0,0.0,0.58,0.0
DSC02283,24,0.02,0.0,0.0,0.01,0.0,0.15,0.0,0.01,0.05,0.0,0.29,0.0,0.04,0.25,0.0
IMG_20260318_075807376_HDR,20,0.02,0.0,0.0,0.06,0.0,0.1,0.02,0.0,0.28,0.0,0.6,0.05,0.0,0.5,0.0
DSC02464,24,0.0,0.0,0.0,0.01,0.0,0.03,0.01,0.0,0.09,0.01,0.17,0.0,0.0,0.29,0.0
3,12,0.06,0.0,0.0,0.02,0.0,0.16,0.0,0.0,0.11,0.0,0.75,0.0,0.0,0.33,0.0
DSC02335,24,0.01,0.0,0.01,0.01,0.0,0.06,0.01,0.04,0.09,0.0,0.21,0.0,0.29,0.25,0.0
37,12,0.03,0.0,0.0,0.03,0.0,0.14,0.0,0.03,0.18,0.0,0.5,0.0,0.17,0.33,0.0
